date,minimum_temperature_c,maximum_temperature_c,rainfall_mm,evaporation_mm,sunshine_hours,direction_of_maximum_wind_gust,speed_of_maximum_wind_gust_km_h,time_of_maximum_wind_gust,x9am_temperature_c,x9am_relative_humidity_percent,x9am_cloud_amount_oktas,x9am_wind_direction,x9am_wind_speed_km_h,x9am_msl_pressure_h_pa,x3pm_temperature_c,x3pm_relative_humidity_percent,x3pm_cloud_amount_oktas,x3pm_wind_direction,x3pm_wind_speed_km_h,x3pm_msl_pressure_h_pa,year,month,day
2020-01-27,11.8,30.3,0,8.6,12.4,W,35,13:52:00,18.8,72,2,NNE,7,1015.9,29,29,NA,WSW,20,1013.8,2020,1,27
2020-01-28,10.5,33.8,0,6.4,11.1,SE,30,18:15:00,20,56,1,NNE,7,1016.4,32.1,16,NA,WNW,7,1014.5,2020,1,28
2020-01-29,13,37.8,0,12,13,NE,37,14:26:00,24,34,1,ENE,15,1016.7,36.9,9,NA,NE,11,1013.3,2020,1,29
2020-01-30,12.9,43.5,0,11.8,12.3,WNW,41,15:39:00,32,10,NA,NE,13,1010.6,42,7,NA,NW,17,1005.8,2020,1,30
2020-01-31,28.5,37.2,0,15.4,4.4,N,78,13:37:00,31.8,51,6,NW,15,1006.9,30.5,56,NA,N,22,1004.7,2020,1,31
2020-02-01,22.1,23,21.4,8,0,WSW,31,15:46:00,22.6,98,8,W,9,1009.8,19,99,NA,W,11,1011.5,2020,2,01
2020-02-02,13.2,22.7,2,2.4,8.4,WSW,37,10:25:00,16.1,77,7,WSW,15,1015.5,20.9,55,NA,WSW,20,1014.6,2020,2,02
2020-02-03,12.7,20.8,0,5.8,4.7,SE,44,15:38:00,16.1,68,6,SSW,15,1016.6,20.3,48,NA,S,17,1016.9,2020,2,03
2020-02-04,9.4,23.6,0,4,12.8,SE,39,00:14:00,13.9,53,0,E,13,1021,21.8,29,NA,ESE,17,1018.1,2020,2,04
2020-02-05,11.6,26.8,0,9.7,13,SE,41,01:44:00,15.8,58,0,ESE,15,1019.1,25.1,26,NA,ESE,13,1016.2,2020,2,05
2020-02-06,11.8,31,0,8,12.1,SE,44,20:57:00,20.3,51,0,ESE,9,1017,29.4,22,NA,ESE,17,1014.9,2020,2,06
